
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
88:75:56:C6:55:94, 2017-11-29 17:37:14, 2017-11-29 17:39:50,  1,  54, OPN, ,   , -70,       19,        0,   0.  0.  0.  0,   7, attwifi, 
00:A3:8E:67:9A:24, 2017-11-29 17:37:20, 2017-11-29 17:39:50,  1,  54, OPN, ,   , -70,       10,        2,  10. 33.  1.  3,   7, attwifi, 
20:3A:07:6E:D4:72, 2017-11-29 17:38:29, 2017-11-29 17:39:50,  1,  54, WPA2, CCMP, MGT, -71,        3,        1,   0.  0.  0.  0,   6, utexas, 
7C:0E:CE:F0:D4:24, 2017-11-29 17:39:49, 2017-11-29 17:39:49,  6,  54, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   7, attwifi, 
20:3A:07:6E:2F:E0, 2017-11-29 17:39:38, 2017-11-29 17:39:38,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
20:3A:07:6F:5F:C2, 2017-11-29 17:37:35, 2017-11-29 17:39:38,  6,  54, WPA2, CCMP, MGT, -64,       11,        0,   0.  0.  0.  0,   6, utexas, 
20:3A:07:6F:55:54, 2017-11-29 17:38:13, 2017-11-29 17:39:38,  6,  54, OPN, ,   , -71,        4,        0,   0.  0.  0.  0,   7, attwifi, 
20:3A:07:6E:95:D4, 2017-11-29 17:37:41, 2017-11-29 17:39:34,  1,  54, OPN, ,   , -71,        2,        0,   0.  0.  0.  0,   7, attwifi, 
88:75:56:C6:57:82, 2017-11-29 17:39:33, 2017-11-29 17:39:33, 11,  54, WPA2, CCMP, MGT, -74,        1,        0,   0.  0.  0.  0,   6, utexas, 
88:75:56:C6:57:80, 2017-11-29 17:39:22, 2017-11-29 17:39:33, 11,  54, OPN, ,   , -76,        1,        1,   0.  0.  0.  0,  16, utexas-wifi-help, 
88:75:56:87:7F:40, 2017-11-29 17:37:41, 2017-11-29 17:39:23,  1,  54, OPN, ,   , -72,        3,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
70:DB:98:98:32:E4, 2017-11-29 17:39:10, 2017-11-29 17:39:10, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:5E:82, 2017-11-29 17:38:17, 2017-11-29 17:39:11, 11,  54, WPA2, CCMP, MGT, -73,        4,        0,   0.  0.  0.  0,   6, utexas, 
88:75:56:C6:51:D2, 2017-11-29 17:39:00, 2017-11-29 17:39:00, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:86:B1:AD, 2017-11-29 17:38:57, 2017-11-29 17:38:57,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6E:D2:50, 2017-11-29 17:38:50, 2017-11-29 17:38:50,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
88:75:56:87:33:22, 2017-11-29 17:36:09, 2017-11-29 17:38:50, 11,  54, WPA2, CCMP, MGT, -64,       20,        0,   0.  0.  0.  0,   6, utexas, 
20:3A:07:6F:5E:84, 2017-11-29 17:38:18, 2017-11-29 17:38:50, 11,  54, OPN, ,   , -70,        3,        0,   0.  0.  0.  0,   7, attwifi, 
20:3A:07:48:23:E0, 2017-11-29 17:37:40, 2017-11-29 17:38:50, 11,  54, OPN, ,   , -73,        1,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
20:3A:07:6F:4D:B2, 2017-11-29 17:37:50, 2017-11-29 17:38:50, 11,  54, WPA2, CCMP, MGT, -76,        3,        0,   0.  0.  0.  0,   6, utexas, 
88:75:56:87:7E:C4, 2017-11-29 17:36:09, 2017-11-29 17:38:23, 11,  54, OPN, ,   , -65,       32,        0,   0.  0.  0.  0,   7, attwifi, 
20:3A:07:48:24:F4, 2017-11-29 17:38:23, 2017-11-29 17:38:23, 11,  54, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   7, attwifi, 
88:75:56:C6:48:22, 2017-11-29 17:38:13, 2017-11-29 17:38:13,  1,  -1, WPA, ,   ,  -1,        0,      345,   0.  0.  0.  0,   0, , 
88:75:56:87:86:6D, 2017-11-29 17:37:59, 2017-11-29 17:37:59,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6E:1E:24, 2017-11-29 17:36:09, 2017-11-29 17:37:34, 11,  54, OPN, ,   , -55,       39,        0,   0.  0.  0.  0,   7, attwifi, 
88:75:56:C6:08:D4, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -56,       36,        0,   0.  0.  0.  0,   7, attwifi, 
88:75:56:87:87:50, 2017-11-29 17:37:34, 2017-11-29 17:37:34, 11,  54, OPN, ,   , -56,        1,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
88:75:56:C6:08:D0, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -58,       33,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
00:08:2F:1E:EA:94, 2017-11-29 17:36:10, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -61,       29,        0,   0.  0.  0.  0,   7, attwifi, 
00:08:2F:1E:EA:92, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, WPA2, CCMP, MGT, -62,       33,        0,   0.  0.  0.  0,   6, utexas, 
88:75:56:C6:08:D2, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, WPA2, CCMP, MGT, -63,       38,        0,   0.  0.  0.  0,   6, utexas, 
00:08:2F:1E:EA:90, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -63,       35,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
20:3A:07:6F:5D:54, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -65,       21,        0,   0.  0.  0.  0,   7, attwifi, 
88:75:56:87:86:60, 2017-11-29 17:37:14, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -65,        6,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
88:75:56:87:84:B2, 2017-11-29 17:37:35, 2017-11-29 17:37:35,  1,  54, WPA2, CCMP, MGT, -66,        1,        0,   0.  0.  0.  0,   6, utexas, 
20:3A:07:6F:5D:50, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -67,       21,        0,   0.  0.  0.  0,  16, utexas-wifi-help, 
88:75:56:87:86:64, 2017-11-29 17:37:14, 2017-11-29 17:37:35,  1,  54, OPN, ,   , -67,        6,        0,   0.  0.  0.  0,   7, attwifi, 
88:75:56:87:87:54, 2017-11-29 17:37:13, 2017-11-29 17:37:34, 11,  54, OPN, ,   , -67,        4,        0,   0.  0.  0.  0,   7, attwifi, 
20:3A:07:6F:5D:52, 2017-11-29 17:36:05, 2017-11-29 17:37:35,  1,  54, WPA2, CCMP, MGT, -68,       18,        0,   0.  0.  0.  0,   6, utexas, 
88:75:56:87:86:62, 2017-11-29 17:37:14, 2017-11-29 17:37:35,  1,  54, WPA2, CCMP, MGT, -70,        7,        0,   0.  0.  0.  0,   6, utexas, 
20:3A:07:48:10:E2, 2017-11-29 17:37:13, 2017-11-29 17:37:35,  6,  54, WPA2, CCMP, MGT, -72,        7,        0,   0.  0.  0.  0,   6, utexas, 
20:3A:07:6E:91:C4, 2017-11-29 17:36:15, 2017-11-29 17:37:24,  6,  54, OPN, ,   , -58,       12,        0,   0.  0.  0.  0,   7, attwifi, 
